Headword,Headword_Data,Definitions,Occurrences in the Aeneid
"nefandus, a, um","nefandus, a, um","adj. (nē and farī), not to be spoken; impious, execrable, accursed, abominable, 5.785; perfidious, 4.497; subst., nefandum, ī, n., wrong, 1.543.",8
"nefās, indecl. n.","nefas, indecl. n.","that which is contrary to divine law; sin, impiety, wrong, 2.719; wickedness, guilt, crime, 2.184; a ghastly deed, 10.497; impious or guilty word, 2.658; mischief, 7.386; dishonor, disgrace, shame, 8.688; (exclamatory), fearful sight! 7.73; fearful penalty! 7.596; (of a person), a monster, wretch, 2.585; (adj.), horrible, 3.365; nefās est, it is unlawful, wicked, impious, 6.391.",18
"negō, āvī, ātus, 1, n. and a.","nego, avi, atus, 1, n. and a.","to say no; say that not or no; deny, refuse, 3.171. (perhaps nē and āiō)",10
"Nemea, ae, f.","Nemea, ae, f.","Nemea, a town of Argolis, near which Hercules killed the Nemean lion, and established the Nemean games, 8.295.",1
"nēmō, inis (gen. not used in class. Latin), c.","nemo, inis (gen. not used in class. Latin), c.","no one, none, 5.305. (nē and homō)",4
"nemorōsus, a, um","nemorosus, a, um","adj. (nemus), abounding in woods, woody, 3.270.",1
"nemus, oris, n.","nemus, oris, n.","a wood, forest, or grove, 1.165, et al.",37
"neō, nēvī, nētus, 2, a.","neo, nevi, netus, 2, a.","to spin; interweave, 10.818.",1
"Neoptolemus, ī, m.","Neoptolemus, i, m.","Neoptolemus or Pyrrhus, the son of Achilles, 3.333. See also Pyrrhus.",6
"nepōs, ōtis, m.","nepos, otis, m.","a grandson, 2.702; pl., nepōtēs, um, grandchildren; posterity, descendants, 2.194.",18
"Neptūnius, a, um","Neptunius, a, um","adj. (Neptūnus), pertaining to Neptune, built by Neptune, Neptunian, 2.625; son or descendant of Neptune, 7.691.",7
"Neptūnus, ī, m.","Neptunus, i, m.","Neptune, one of the sons of Saturn, and brother of Jupiter, Juno, and Pluto; identified by the Romans, as god of the sea, with the Greek Poseidon, 1.125.",15
"nequeō, īvī or iī, itus, īre, irreg. n.","nequeo, ivi or ii, itus, ire, irreg. n.","to be unable; can not, 1.713.",7
nēquīquam,nequiquam,"(adv.), in vain, to no purpose, 2.515.",36
"Nērēīs, idis or idos, f.","Nereis, idis or idos, f.","a Nereid, any one of the daughters of Nereus and Doris; a sea-nymph, 3.74. (Nēreus)",2
"Nērēius, a, um","Nereius, a, um","adj. (Nēreus), of Nereus; Nereian, 9.102.",1
"Nēreus (dissyll.), eī or eos, m.","Nereus (dissyll.), ei or eos, m.","Nereus, a sea-god, son of Oceanus and Tethys, and father of the Nereids, 2.419, et al.; (meton.), the sea, 10.764.",3
"Nēritos, ī, f.","Neritos, i, f.","Neritos, a small island near Ithaca, 3.271.",1
"Nersae, ārum, f.","Nersae, arum, f.","Nersae, a town of the Aequī, 7.744.",1
"nervus, ī, m.","nervus, i, m.","a nerve; sinew, tendon, 10.341; bow-string, 5.502; string of the lyre, 9.776.",7
"nesciō, īvī or iī, ītus, 4, a.","nescio, ivi or ii, itus, 4, a.","not to know, to be ignorant of, 1.565; w. object clause, 2.735, et al. (nē and sciō)",5
"nescius, a, um","nescius, a, um","adj. (nesciō), not knowing, unaware, ignorant, 1.299; that knows not how, that can not.",6
nēve or neu,neve or neu,"(conj.), or not, and not, nor, neither, w. subj. or imperat., 7.202; ne — neu (nēve), that not — nor, lest — or lest, 2.188.",6
"nex, necis, f.","nex, necis, f.","murder, slaughter, violent death, destruction, death, 2.85, et al. (necō)",5
nī,ni,"(conj.), not, lest, that not, 3.686; for nisi, if not, unless, except, 5.356, et al.",19
"nīdor, ōris, m.","nidor, oris, m.","vapor, steam; a smell, 12.301.",1
"nīdus, ī, m.","nidus, i, m.","a nest; brood, nestling, 5.214.",3
"niger, gra, grum","niger, gra, grum","(adj.), black; dark, swarthy, dusky, 6.134; gloomy.",17
"nigrāns, antis","nigrans, antis","black, dusky, dark, 5.97; cloud-covered, 8.353; gloomy, 9.87. (niger)",2
"nigrēscō, uī, 3, inc. n.","nigresco, ui, 3, inc. n.","to become or turn black; grow dark, 4.454. (niger)",2
"nigrō, āvī, ātus, 1, n. and a.","nigro, avi, atus, 1, n. and a.","to be or make black; p., nigrāns, antis, black, dusky, dark, 5.97; cloud-covered, 8.353; gloomy, 9.87. (niger)",3
"nihil (nīl), n. indecl.","nihil (nil), n. indecl.","nothing, 2.287; (adv.), not at all; by no means, not, 2.402, and freq. (nē and hīlum, a trifle)",23
"Nīlus, ī, m.","Nilus, i, m.","the Nile, 6.800.",3
"nimbōsus, a, um","nimbosus, a, um","adj. (nimbus), full of storms; stormy, rainy, 1.535; cloud-covered, 3.274.",2
"nimbus, ī, m.","nimbus, i, m.","a violent rain; storm, tempest, 1.51; a black cloud, thunder-cloud, cloud, 3.587; a bright cloud; the nimbus surrounding a god, 2.616; cloud of smoke, 5.666; a multitude, 7.793.",24
nīmīrum,nimirum,"(adv.), without wonder or doubt; certainly, undoubtedly, doubtless, 3.558. (nī, for nē, and mīrum)",1
nimis,nimis,"(adv.), too much, overmuch; too well, 9.472.",1
nimium,nimium,"(adv.), too; very much; but too, 6.514.",9
"nimius, a, um","nimius, a, um","adj. (nimis), too great, too much, excessive.",1
"Niphaeus, ī, m.","Niphaeus, i, m.","a Rutulian warrior, 10.570.",1
"Nīsaeē, ēs, f.","Nisaee, es, f.",one of the Naiads.,1
nisi and nī,nisi and ni,"(conj.), if not, unless, 5.49, et al.",2
"Nīsus, ī, m.","Nisus, i, m.","a follower of Aeneas, 5.294.",21
"nīsus, ūs, m.","nisus, us, m.","a leaning, pressing against; bracing; position of resistance, 5.437; effort, exertion, 3.37; descent, 11.852. (nītor)",3
"nitēns, entis","nitens, entis","shining, glittering, sparkling; bright, 1.228; (fig.), sleek, well-fed, 3.20.",7
"nitēscō, nituī, 3, inc. n.","nitesco, nitui, 3, inc. n.","to become bright, to shine, glisten, 5.135. (niteō)",1
"nitidus, a, um","nitidus, a, um","adj. (niteō), shining, bright, glittering, 2.473.",2
"nītor, nīsus or nīxus sum, 3, dep. n.","nitor, nisus or nixus sum, 3, dep. n.","to lean or rest upon, w. abl., 6.760; tread, walk upon, 2.380; to be borne upon, poised or balanced upon, 4.252; push, press, struggle forward or upward; ascend, 2.443.",10
"nivālis, e","nivalis, e","adj. (nix), snowy; snow-covered, 7.675; snowy, 3.538.",3
"niveus, a, um","niveus, a, um","adj. (nix), snowy, of snow; snow-white, 1.469.",8
"nix, nivis, f.","nix, nivis, f.","snow, 4.250.",3
"nīxor, ātus sum, 1, dep. n. intens. (nītor)","nixor, atus sum, 1, dep. n. intens. (nitor)","to lean upon with the idea of effort; struggle forward on, 5.279.",1
"nō, nāvī, nātus, 1, n.","no, navi, natus, 1, n.","to swim, 1.118.",4
"nōbilis, e","nobilis, e","adj. (nōscō), well-known, illustrious, famous, 7.564.",1
"nōbilitās, ātis, f.","nobilitas, atis, f.","renown; high birth, noble lineage, 11.341. (nōbilis)",1
"noceō, uī, itus, 2, n.","noceo, ui, itus, 2, n.","to be hurtful; to hurt, harm, injure; do mischief, 5.618.",4
"nox, noctis, f.","nox, noctis, f.","night, freq.; darkness, 1.89; dark cloud, black storm-cloud, 3.198; sleep, 4.530; death, 12.310; personif., Nox, Night, the goddess of night, 3.512.",4
"noctivagus, a, um","noctivagus, a, um","adj. (nox and vagus, wandering), night-wandering; nightly, nocturnal, 10.216.",1
"nocturnus, a, um","nocturnus, a, um","adj. (nox), pertaining to the night; nightly, nocturnal, in the night, by night, 4.490.",7
"nōdō, āvī, ātus, 1, a.","nodo, avi, atus, 1, a.","to tie with a knot; bind, fasten, 4.138. (nōdus)",1
"nōdus, ī, m.","nodus, i, m.","a knot, 1.320, et al.; of a tree, 11.553; bond, 1.296; coil, 2.220; (fig.), difficult point; center of strife, 10.428.",14
"Noēmōn, onis, m.","Noemon, onis, m.","a Trojan, 9.767.",1
"nomas, adis, c.","nomas, adis, c.","a nomad; pl., Nomades, um, m., the Numidians, 4.320.",3
"nōmen, inis, n.","nomen, inis, n.","a name, 1.248, et al.; designation, name, indicating attribute, invention, gift for mischief, 7.337; word, 3.444; fame, renown, 2.583, et al. (nōscō)",90
"Nōmentum, ī, n.","Nomentum, i, n.","Nomentum, a town of Latium, 6.773.",2
nōn,non,"(adv.), not, freq.; sometimes for nē in prohibitions, 12.78.",259
nōndum,nondum,"(adv.), not yet, 3.109, et al.",5
"nōnus, a, um","nonus, a, um","adj. (novem), the ninth, 5.64.",2
"nōscō, nōvī, nōtus, 3, a.","nosco, novi, notus, 3, a.","to get knowledge of, become acquainted with; recognize, 6.809; (in perf. and cognate tenses), know, knew, etc., 4.423, et al.",9
"noster, tra, trum","noster, tra, trum","(poss. adj. pron.), our, ours, our own, freq.; of us, or me, given by me, 12.51; favorable to us, auspicious, 12.187, et al. (nōs)",94
"nostrī, ōrum, m.","nostri, orum, m.","our friends, kindred, allies, etc., 2.411. (noster)",2
"nota, ae, f.","nota, ae, f.","a distinguishing mark; mark, spot, 5.87; letter, character, 3.444. (nōscō)",2
"nothus, a, um","nothus, a, um","(adj.), illegitimate, bastard; subst., nothus, ī, m., a bastard son, 9.697; a horse of mixed breed, 7.283.",2
"notō, āvī, ātus, 1, a.","noto, avi, atus, 1, a.","to mark; to observe, note, mark, 3.515. (nota)",3
"Notus, ī, m.","Notus, i, m.","identical in meaning with auster; the south-wind, 1.85; wind, 6.355; storm, 1.575.",12
"nōtus, a, um","notus, a, um","known, 1.669; wonted, usual, 2.773; well-known, 3.657; famed, renowned, distinguished, celebrated, 1.379; familiar, well proved, 12.759; nōtum, n., (referring to a following clause), the knowledge, etc., 5.6.",30
novem,novem,"(num. adj., indecl.), nine, 1.245.",4
"noverca, ae, f.","noverca, ae, f.",a step-mother.,3
noviēns (noviēs),noviens (novies),"(num. adv.), nine times, 6.439. (novem)",1
"novitās, ātis, f.","novitas, atis, f.","newness, 1.563. (novus)",1
"novō, āvī, ātus, 1, a.","novo, avi, atus, 1, a.","to make new, renew, renovate, repair, 5.752; change, 5.604; build, 4.260; rēs novāre, to change one's purpose or plans; take new measures, 4.290. (novus)",6
"novus, a, um","novus, a, um","(adj.), new, freq.; recent, fresh, 2.98; unusual, strange, unknown, 1.307; superl., novissimus, a, um, last, 4.650.",49
"noxa, ae, f.","noxa, ae, f.","hurt, harm; offense, outrage, violence, 1.41. (noceō)",1
"noxius, a, um","noxius, a, um","adj. (noxa), hurtful, baneful, 6.731; destructive, 7.326.",2
"nūbēs, is, f.","nubes, is, f.","a cloud, 1.516, et al.; storm, 10.809; the air, 12.856; (fig.), flock, multitude, 7.705.",43
"nūbigenae, ārum, c.","nubigenae, arum, c.","the cloud-born; a name of the Centaurs, born of Ixion and a cloud, 8.293. (nūbēs and genō)",2
"nūbilus, a, um","nubilus, a, um","adj. (nūbēs), cloudy; subst., nūbilum, ī, cloudy weather; pl., nūbila, ōrum, clouds, 3.586.",9
"nūbilis, e","nubilis, e","adj. (nūbō, marry), marriageable; grown up, 7.53.",1
"nūbilum, ī, n.","nubilum, i, n.",cloudy weather.,4
"nūdō, āvī, ātus, 1. a.","nudo, avi, atus, 1. a.","to make bare, naked; lay open, bare, 1.211; (fig.), expose, 5.586; lay open, disclose, 1.356. (nūdus)",6
"nūdus, a, um","nudus, a, um","(adj.), naked, bare, 1.320; open, 2.512; unburied, 5.871.",12
"nūllus, a, um","nullus, a, um","(gen. nūllīus, dat. nūllī, adj.) no, not any, 1.184; unobservant, regardless, 11.725; subst., no one, nobody, none, 4.456. (nē and ūllus)",57
num,num,"(interrog. adv., in single independent questions, untranslated); (in dependent questions), whether, 4.369.",10
"Numa, ae, m.","Numa, ae, m.","the name of two Rutulian warriors, 9.454; 10.562.",2
"Numānus, ī, m.","Numanus, i, m.","Numanus or Remulus, a Rutulian slain by Ascanius, 9.592.",2
"nūmen, inis, n.","numen, inis, n.","a command; will; espec. the divine will or purpose, 1.8; divine command, 7.385; divine power, 1.666; authority, revelation, 3.363; impulse, 1.674; assistance, 5.56; divine keeping, protection, 2.703; divine regard, favor, 4.611; permission, 6.266; presence, 1.447; manifestation, 2.623; majesty, divinity, 1.48; divine attribute, 10.221; a deity, god, divinity, 2.735; sacred image, 2.178. (nuō, nod)",62
"numerō, āvī, ātus, 1, a.","numero, avi, atus, 1, a.","to number, count, reckon. (numerus)",1
"numerus, ī, m.","numerus, i, m.","a number, 1.193; multitude, 2.424; order, 3.446; in music or poetry, measure, number, 6.646; pl., numbers, measures; melody, tune.",25
"Numīcus, ī, m.","Numicus, i, m.","a river of Latium near Lavinium, 7.150.",3
"Numida, ae, m.","Numida, ae, m.","a Nomad; a Numidian, 4.41.",1
