Headword,Headword_Data,Definitions,Occurrences in the Aeneid
"Aetna, ae, f.","Aetna, ae, f.","a volcanic mountain on the eastern coast of Sicily, 3.579.",4
"Aetnaeus, a, um","Aetnaeus, a, um","adj. (Aetna), of Aetna; Aetnaean, 3.678.",5
"Aetōlus, a, um","Aetolus, a, um","(adj.), Aetolian, 11.428; Aetōla urbs, Arpi in Apulia, built by Diomedes, 11.239.",1
"aevum, ī, n.","aevum, i, n.","indefinite time; lapse of time, time, 3.415; age, 2.638; old age, 2.509; life, 10.582; immortality, 10.235.",20
"adfābilis, e","adfabilis, e","adj. (adfor), that can be spoken to; easy to be approached, 3.621.",1
"adfātus, ūs, m.","adfatus, us, m.","a speaking to; address, 4.284. (adfor)",1
"adfectō, āvī, ātus, 1, freq. a.","adfecto, avi, atus, 1, freq. a.","to strive after; grasp, seize, 3.670; seek. (adficiō)",1
"adferō, attulī, allātus, adferre, irreg. a.","adfero, attuli, allatus, adferre, irreg. a.","to bring, bear, or carry, convey to, 12.171; bring hither, 6.532; to present, 3.310; (pass.), adferī, to be brought to, with acc., 7.217.",12
"adficiō, fēcī, fectus, 3, a.","adficio, feci, fectus, 3, a.","to affect; reward, 12.352. (ad and faciō)",1
"adfīgō, fīxī, fīxus, 3, a.","adfigo, fixi, fixus, 3, a.","to fasten to, put to, 9.536; perf. p. pass., clinging to, 5.852.",4
"adflīctus, a, um","adflictus, a, um","dejected, desponding, 2.92; wretched, troubled, 1.452. (adflīgō, flīxī, flīctus, 3, a.)",2
"adflō, āvī, ātus, 1, n. and a.","adflo, avi, atus, 1, n. and a.","to blow upon; breathe upon, 5.739; blast, 2.649; inspire, 6.50; impart, 1.591.",4
"adfluō, flūxī, flūxus, 3, n.","adfluo, fluxi, fluxus, 3, n.","to flow to; (fig.), gather, flock together, assemble, 2.796.",1
"adfor, fātus sum, 1, dep. a.","adfor, fatus sum, 1, dep. a.","to speak to; address, 1.663; beseech, supplicate, 2.700; bid adieu, farewell to, 2.644.",28
"āfer, fra, frum","afer, fra, frum","(adj.), African; (subst.), āfrī, ōrum, m., Africans, 8.724.",1
"āfricus, ī, m.","africus, i, m.",the southwest wind.,1
"Agamemnonius, a, um","Agamemnonius, a, um","(adj.), pertaining to Agamemnon; Agamemnonian, Argive, Greek, 4.471.",5
"Agathyrsī, ōrum, m.","Agathyrsi, orum, m.","a Sythian tribe dwelling on the river Maros in what is now Hungary, remarkable for the practice of tattooing their bodies, 4.146.",1
"age, agite","age, agite","(imperat. of ago), onward! away! come on!",17
"Agēnor, oris, m.","Agenor, oris, m.","a son of Neptune and Lyba, king of Phoenicia and ancestor of Dido, 1.338.",1
"ager, agrī, m.","ager, agri, m.","the land pertaining to a person or community; land under cultivation; a field, 2.306, et al.; land, 1.343, et al.",28
"agger, eris, m.","agger, eris, m.","materials gathered to form an elevation; a heap of earth or stones, dike, embankment, bank, 1.112; 2.496; heap of earth, 9.567; top, summit, ridge, raised surface, 5.44, 273; a rampart, 9.769, et al.; a height or rising ground, 12.446; aggerēs, mountains, mountain ramparts, 6.830. (aggerō)",23
"aggerō, gessī, gestus, 3, a.","aggero, gessi, gestus, 3, a.","to bear to; heap upon, add to, 3.63. (ad and gerō)",1
"aggerō, āvī, ātus, 1, a.","aggero, avi, atus, 1, a.","to pile up; (fig.), increase, aggravate, 4.197. (agger)",3
"agglomerō, āvī, ātus, 1, a. and n.","agglomero, avi, atus, 1, a. and n.","to gather, assemble, crowd to, 2.341; sē agglomerāre, to join themselves to, 12.458. (ad and glomerō)",2
"aggredior, gressus sum, 3, dep. n. and a.","aggredior, gressus sum, 3, dep. n. and a.","attempt, dare, with inf., 2.165; to advance toward; attempt, 3.38; attack, 9.325; assail, hew, 2.463; accost, address, 3.358. (ad and gradior)",9
"āgis, idis, m.","agis, idis, m.","a Lycian, follower of Aeneas, 10.751.",1
"agitātor, ōris, m.","agitator, oris, m.","one who drives; a charioteer, 2.476. (agitō)",1
"agitō, āvī, ātus, 1, intens. a. and n.","agito, avi, atus, 1, intens. a. and n.","to put in motion; drive; drive away; drive, pursue, 2.421; persecute, 6.68; harass, haunt, 3.331; stir up, arouse, 10.71; hasten, 2.640; move, animate, 6.727; excite to, 9.187; practice, exercise, 12.397; spend, pass; (pass.), agitārī, to ride about, 11.694. (agō)",19
"āgmen, inis, n.","agmen, inis, n.","that which is driven or moved; direction of movement; a train; gathering, winding; herd, flock, drove, 1.186; an army, on the march; battalion, squadron, 5.834; army, 11.60; troop, band, 5.549; company, multitude, throng, 5.378; assemblage, gathering, flood; motion, stroke, of oars, 5.211; stream, current, 2.782; course, 2.212; a leader, 10.561. (agō)",98
"agna, ae, f.","agna, ae, f.","a ewe lamb, 5.772. (agnus)",2
"adgnoscō, nōvī, nitus, 3, a.","adgnosco, novi, nitus, 3, a.","to recognize, 1.470.",30
"agnus, ī, m.","agnus, i, m.","a lamb, 1.635.",3
"agō, ēgī, āctus, 3, a.","ago, egi, actus, 3, a.","to put in motion; to drive, 1.333; force, impel, 3.5; urge, incite, 7.393; advance, 9.505; move, turn, pursue, 10.540; drive away, dispel, lead, 4.546; send forth, raise, 6.873; rear by growth, 11.136; work, 3.695; work out, cut out, cleave, 10.514; convey, 1.391; bear onward, 3.512; bring, 9.18; do in general, 10.675; do, perform, 5.638; to be busy about, aim at, essay, try to accomplish, effect, gain, 11.227; treat, 1.574; derive, 12.530; consider, discuss, debate, 11.445; pass, spend, 5.51; (without an object), to be at work, to work, perform, 12.429; agere sē, to present one’s self, appear, 6.337; (pass.), agī, to move, hover, 12.336.",102
"agrestis, e","agrestis, e","adj. (ager), pertaining to the fields or country; country-, rustic, rural, 3.34; wild, 7.111; subst., agrestis, is, m., a rustic, 7.504; husbandman.",9
"agricola, ae, m.","agricola, ae, m.","one who cultivates the land; a husbandman, 2.628. (ager and colō)",5
"Agrippa, ae, m.","Agrippa, ae, m.","Marcus Vipsanius Agrippa, one of the confidential counselors of Augustus, and his principal military commander, 8.682.",1
"Agyllīnus, a, um","Agyllinus, a, um","(adj.), of Agylla, a town in Etruria, afterwards called Caere, 7.652; subst., Agyllīnī, ōrum, m., the people of Agylla, 12.281.",1
"Aiāx, ācis, m.","Aiax, acis, m.","1. Ajax, the son of Telamon. 2. Ajax, the son of Oileus, called also Ajax the Lesser, 1.41; 2.414.",2
"āiō, 4, def.","aio, 4, def.","to speak; to say “yes”; say, 1.142, et al.; sometimes pleonastic after fārī, etc., 5.551. (If the i in this verb is followed by a consonant, the a is short; as aīs, aīt; otherwise i coalesces with the following vowel; as āiō, pronounced ā-yō.)",46
"āla, ae, f.","ala, ae, f.","a wing, 1.301; the feather of an arrow, 9.578; the wing of an army; cavalry, 11.730; troop, battalion, 11.604; horsemen, mounted huntsmen, 4.121.",33
"alacer (alacris, m., 5.380), cris, cre","alacer (alacris, m., 5.380), cris, cre","(adj.), lively; active, eager; bold, darting, exulting, 10.729; joyful, 5.380.",5
"ālātus, a, um","alatus, a, um","adj. (āla), winged, 4.259.",1
"Alba, ae, f.","Alba, ae, f.","Alba or Alba Longa, a town on the Alban hills in Latium, from which Rome originated, 1.271.",6
"Albānus, a, um","Albanus, a, um","adj. (Alba), pertaining to Alba; Alban, 1.7; subst., Albānī, ōrum, m., the Albans, 5.600.",1
"albeō, 2, n.","albeo, 2, n.","to be white, 12.36. (albus)",1
"albēscō, 3, inc. n.","albesco, 3, inc. n.","to grow white, whiten; to brighten, dawn, 4.586. (albeō)",2
"Albula, ae, f.","Albula, ae, f.","the Albula, an ancient name of the Tiber, 8.332.",1
"Albunea, ae, f.","Albunea, ae, f.","Albunea, a fountain at Tibur; also personified as a nymph, 7.83. (albus)",1
"albus, a, um","albus, a, um","(adj.), white, 3.392; blank, undecorated, 9.548; subst., album, ī, n., whiteness, white.",23
"Alcander, drī, m.","Alcander, dri, m.","a Trojan, 9.767.",1
"Alcānor, oris, m.","Alcanor, oris, m.","1. Alcanor, a Trojan hero, 9.672. 2. A Rutulian, 10.338.",2
"Alcathous, ī, m.","Alcathous, i, m.","a Trojan, 10.747.",1
"Alcīdēs, ae., m.","Alcides, ae., m.","a descendant of Alceus; Hercules, 5.414, et al.",12
"āles, itis (gen. pl. sometimes alituum, 8.27)","ales, itis (gen. pl. sometimes alituum, 8.27)","adj. (āla), winged, swift, 5.861, et al.; subst. c., a bird, 1.394; an owl, 12.862.",11
"Alētēs, is, m.","Aletes, is, m.","a companion of Aeneas, 1.121.",3
"alga, ae, f.","alga, ae, f.",seaweed.,1
"aliēnus, a, um","alienus, a, um","adj. (alius), pertaining to another, another’s; strange; foreign, 4.311; intended for another, 10.781; not one’s own.",4
"āliger, era, erum","aliger, era, erum","adj. (āla and gerō), wing-bearing; winged, 1.663.",2
"ālipēs, edis","alipes, edis","adj. (āla and pēs), wing-footed, 12.484; subst. m., wing-footed horse.",2
aliquandō,aliquando,"adv. (alius and quandō), at some time; formerly, 8.602; at length, 8.200.",2
"aliquis, quid","aliquis, quid","(indef. subst. pron.), some one, any one, something, anything, in affirmative sentences; some one, 6.864, et al.; some other, 2.48; acc., aliquid, as to something, in some respect, somewhat, in some degree, 10.84; (adv.), aliquā (sc. ratiōne or viā) (abl.), in some way. (alius and quis)",14
aliter,aliter,"(adv.), in another manner; otherwise, 1.399. (alius)",14
"alius, a, ud (gen. alīus, dat. aliī)","alius, a, ud (gen. alius, dat. alii)","(adj. and subst.), other, another; repeated; alius — alius, one — another; pl., aliī — aliī, some — others, 1.427, 428; used once for aliī— aliī, 4.593; (adv.), aliō (old abl.), elsewhere, to another place; aliās (acc. pl. fem., sc. vicēs), at another time.",100
"adlābor, lāpsus sum, 3, dep. n.","adlabor, lapsus sum, 3, dep. n.","to glide to; (with dat., rarely acc.), sail to, reach, 3.569; advance, glide (with abl. of manner), 10.269; fly to, 9.474; descend, fall upon, 12.319.",9
"adlacrimāns, antis","adlacrimans, antis","weeping, 10, 628. (p. of obsol. adlacrimō, shed tears)",1
"Allēctō, ūs, f.","Allecto, us, f.","Alecto, one of the furies, 7.324, et al.",7
"Allia, ae, f.","Allia, ae, f.","the Allia, a small stream running into the Tiber, eleven miles above Rome, where the Romans were defeated by the Gauls, B.C. 389, 7.717.",1
"adligō, āvī, ātus, 1, a.","adligo, avi, atus, 1, a.","to tie or bind to; hold fast, hold, 1, 169; constrain, confine, 6, 439.",2
"adloquor, locūtus sum, 3, dep. a.","adloquor, locutus sum, 3, dep. a.","to address, 1, 229.",14
"adlūdō, lūsī, lūsus, 3, n.","adludo, lusi, lusus, 3, n.","to speak playfully; sport, mock, jest, 7, 117.",1
"adluō, luī, 3, a.","adluo, lui, 3, a.","to wash against, wash, 8.149.",1
"Almō, ōnis, m.","Almo, onis, m.","a Latin youth, son of Tyrrheus, 7.532.",2
"almus, a, um","almus, a, um","adj. (alō), giving nourishment; fostering, genial, blessing, blessed, benign, 1.306; fruitful; gracious, kind, kindly, propitious, 7.774.",18
"alō, uī, altus or alitus, 3, a.","alo, ui, altus or alitus, 3, a.","to nourish, rear, 3.50; breed, 4.38; cherish, 4.2; animate, 6.726; encourage, 5.231.",8
"Alōīdae, ārum, m.","Aloidae, arum, m.","the stepsons of Aloeus, sons of Neptune and Iphemedia, named Otus and Ephialtes; giants who stormed Olympus and were slain by Apollo, 6.582.",1
"Alpēs, ium, f.","Alpes, ium, f.",the Alps.,1
"Alphēus, i., m.","Alpheus, i., m.","the Alpheus, a river in Elis, supposed to disappear under the sea, and rise again as the fountain of Arethusa, in the island of Ortygia, near Syracuse, 3.694, et al.",1
"Alphēus, a, um","Alpheus, a, um","(adj.), of the Alpheus, Alphean, 10.179.",1
"Alpīnus, a, um","Alpinus, a, um","adj. (Alpēs), pertaining to the Alps; Alpine, 4.442.",3
"Alsus, ī, m.","Alsus, i, m.","a Rutulian shepherd, 12.304.",1
"altāria, ium, n.","altaria, ium, n.","the upper part of an altar; a high altar, 7.211; an altar, 2.515. (altus)",11
altē,alte,"(adv.), aloft, on high; high, 1.337; high up; deeply, deep; comp., altius, higher. (altus)",13
"alter, era, erum (gen. sing. alterius, dat. alterī, in all genders)","alter, era, erum (gen. sing. alterius, dat. alteri, in all genders)","adj. (rel. to alius), the other; one of two; the next; the second, 5.311; a single other; one- or another of the same class; another; any second one; with a neg., not one other, 1.544; alter — alter, the one — the other, 5.299; alter — alterius, each — other’s, 2.667.",29
"alternō, āvī, ātus, 1, a. and n.","alterno, avi, atus, 1, a. and n.","to do by turns; to alternate (attack) by turns; weigh or consider one thing after another, 4.287. (alternus)",1
"alternus, a, um","alternus, a, um","adj. (alter), one after the other; alternating, 6.121; by turns, in succession, 5.376; every second, 12.233.",9
"altrīx, īcis, f.","altrix, icis, f.","a nurse; mother-, nurse-, native-, birth-, 3.273. (alō)",1
"altum, ī, n.","altum, i, n.","the deep; the lofty; the deep sea, the main, the deep, 1.3; the sky, heaven, air, 1.297; from far, far-fetched, remote, 8.395. (altus)",28
"altus, a, um","altus, a, um","raised high; high built, high, lofty, 5.489; on high, aloft, 11.837; high-born, noble, ancient, 4.230; renowned, 10.126; deep, deep or deeply, 12.357; subst., altum, ī, n., the deep; the lofty; the deep sea, the main, the deep, 1.3; the sky, heaven, air, 1.297; from far, far-fetched, remote, 8.395; pl., alta, ōrum, high places, heights of heaven, 6.787; heights, hills, 11.797; battlements, 9.169; alta petere, to aim high, 5.508; comp., altior, ius, higher, taller, 8.162; superl., altissimus, a, um, very high, 8.234. (alō, rear, cause to grow)",175
"alveus, ī, m.","alveus, i, m.","a cavity, hollow; the hollow trunk of a tree; (meton.), a boat, 6.412. (alvus)",4
"alumnus, ī, m.","alumnus, i, m.","a foster-son, 11.33, et al. (alō)",3
"alvus, ī, f.","alvus, i, f.","the abdomen, the belly; waist, 12.273; body, 2.51.",6
"amāns, antis","amans, antis","(subst.) a lover; loving, fond wife, 1.352.",7
"amāracus, ī, m.","amaracus, i, m.","marjoram, 1.693.",1
"amārus, a, um","amarus, a, um","(adj.), bitter, brackish, salt, briny; (fig.), bitter, 4.203; biting, 11.337; cruel, 10.900.",7
"Amasēnus, ī, m.","Amasenus, i, m.","the Amasenus, a river of Latium, 11.547; the river-god Amasenus, 7.685.",2
"Amastrus, ī, m.","Amastrus, i, m.","a Trojan, 11.673.",1
"Amāta, ae, f.","Amata, ae, f.","the wife of Latinus, 7.343, et al.",6
"Amathūs, ūntis, f.","Amathus, untis, f.","a town of Cyprus, 10.51.",1
"Amāzōn, onis, f.","Amazon, onis, f.","an Amazon, one of the race of female warriors, said to have dwelt on the Thermodon, in Asia Minor, 11.648, et al.",2
"Amāzonis, idis, f.","Amazonis, idis, f.","an Amazon, 1.490.",1
"Amāzonius, a, um","Amazonius, a, um","adj. (Amāzōn), Amazonian (such as the Amazons used), 5.311.",1
"ambāgēs, is, f.","ambages, is, f.","a going about; a winding, 6.29; (fig.), details, particulars, story, 1.342; mysteries, 6.99. (in good usage in the abl. sing. and all cases of pl.) (ambigō, go about)",3
"ambedō, ēdī, ēsus, 3, a.","ambedo, edi, esus, 3, a.","to eat round; to consume, devour, eat, 3.257.",2
"ambiō, īvī or iī, ītus, 4, a. and n.","ambio, ivi or ii, itus, 4, a. and n.","to go round; encompass, 6.550; (fig.), approach, address, 4.283; entrap, circumvent, 7.333. (amb- and eō)",1
"ambiguus, a, um","ambiguus, a, um","adj. (ambigō), uncertain; doubtful, undecided; 5.326; twofold, 3.180; dark, obscure, 2.99; unreliable, treacherous, 1.661; hesitating, uncertain, 5.655; in suspense, 8.580.",6
"ambō, ae, ō","ambo, ae, o","(adj.), both, 1.458.",25
"ambrosia, ae, f.","ambrosia, ae, f.","ambrosia, the food of the gods.",1
"ambrosius, a, um","ambrosius, a, um","adj. (ambrosia), ambrosial, heavenly, divine, 1.403.",1
"ambūrō, ussī, ūstus, 3, a.","amburo, ussi, ustus, 3, a.","to burn round; p., ambūstus, a, um, blazing, singed, 12.301.",2
"āmēns, entis","amens, entis","out of one’s mind or senses; amazed, beside one’s self, frantic, mad, furious, 2.314; 4.203; distracted, 3.307.",13
"āmentum, ī, n.","amentum, i, n.","a thong attached to the shaft of a javelin or other missile; (meton.), a javelin with the amentum, 9.665.",1
"amiciō, icuī or ixī, ictus, 4, a.","amicio, icui or ixi, ictus, 4, a.","to throw around; veil, cover, 1.516. (am- and iaciō)",1
"amīcitia, ae, f.","amicitia, ae, f.","friendship; pl., friendly alliance, 11.321. (amīcus)",2
"amictus, ūs, m.","amictus, us, m.","a veiling or draping of the person; an upper garment, covering; cloak, mantle, veil, 3.405; 5.421. (amiciō)",11
"amīcus, a, um","amicus, a, um","adj. (amō), loving, friendly, kind, favorable, propitious, of persons, 2.735; of things, 2.255, et al.; subst., amīcus, ī., m., a friend.",18
"Amiternus, a, um","Amiternus, a, um","adj. (Amiternum), of Amiternum, a Sabine town near the source of the Aternus; Amiternian, 7.710.",1
"āmittō, mīsī, missus, 3, a.","amitto, misi, missus, 3, a.","to send away; to let go, 5.853; 2.148; lose, 3.710; p., āmissus, a, um, missing 1.217; lost, 3.341; slain, 11.868.",22
"Hammōn, ōnis, m.","Hammon, onis, m.","Jupiter, or Zeus Ammon, a god of Egypt and Libya, 4.198.",1
"amnis, is, m.","amnis, is, m.","flowing water; a river, freq.; stream, 4.164; water, 12.417; amnis Eumenidum, the Cocytus, 6.374.",38
"amō, āvī, ātus, 1, a.","amo, avi, atus, 1, a.","to love, be fond of, like; (fig.), to keep close to, hug the shore, 5.163; without an object, to be in love, to love, 4.101, et al.",6
"amoenus, a, um","amoenus, a, um","(adj.), charming; usually to the sight, delightful, pleasant, 6.638.",5
"amor, ōris, m.","amor, oris, m.","love, affection, in all senses; the passion of love; love, affection, or esteem, in all human relations, as parental, filial, of friends, allies, etc., 4.624, et al.; of gods, 7.769; love, liking, fancy, fondness, preference, for things, 11.583, et al.; freq., the hippomanes, or bunch of flesh supposed to appear on the forehead of a new-foaled colt, and instantly devoured by the dam, unless intercepted, and used as a love-charm, 4.516; personified, Amor, ōris, m., Cupid, Love, the god of love, 1.663; pl., amōrēs, um, m., affections, love, 4.28; mutual love, 5.334. (amō)",3
